STATE,NAME,REGION,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,VMT 2015,VMT 2016,VMT 2017,VMT 2018,VMT 2019,VMT 2020,VMT 2021,Crashes2015,Crashes2016,Crashes2017,Crashes2018,Crashes2019,Crashes2020,Crashes2021,Crashbypop2015,Crashbypop2016,Crashbypop2017,Crashbypop2018,Crashbypop2019,Crashbypop2020,Crashbypop2021,CrashbyMVMT2015,CrashbyMVMT2016,CrashbyMVMT2017,CrashbyMVMT2018,CrashbyMVMT2019,CrashbyMVMT2020,CrashbyMVMT2021
26,Michigan,2,9931715,9950571,9973114,9984072,9986857,10069577,10037504,10034113,97843.20,99432.54,101757.20,102397.56,102173.72,86546.99,96744.49,896,981,940,907,903,1013,1072,11084.50,10143.29,10609.70,11007.80,11059.64,9940.35,9363.34,109.20,101.36,108.25,112.90,113.15,85.44,90.25
27,Minnesota,2,5482032,5522744,5566230,5606249,5639632,5709852,5711471,5717184,57394.87,59028.80,59970.85,60438.31,60730.98,51619.44,57171.11,375,357,341,349,333,369,451,14618.75,15469.87,16323.26,16063.75,16935.83,15473.85,12664.02,153.05,165.35,175.87,173.18,182.38,139.89,126.77
28,Mississippi,3,2988471,2987938,2988510,2981020,2976149,2958141,2949586,2940057,39890.36,40754.71,40877.10,40730.44,41090.91,39665.09,40852.83,604,625,609,596,580,685,697,4947.80,4780.70,4907.24,5001.71,5131.29,4318.45,4231.83,66.04,65.21,67.12,68.34,70.85,57.91,58.61
29,Missouri,2,6071732,6087135,6106670,6121623,6137428,6153998,6169823,6177957,71917.52,74018.58,75911.32,76595.00,79168.25,72797.04,79790.93,803,872,865,848,819,914,931,7561.31,6980.66,7059.73,7218.90,7493.81,6733.04,6627.09,89.56,84.88,87.76,90.32,96.66,79.65,85.70
30,Montana,4,1030475,1040859,1052482,1060665,1068778,1087075,1106227,1122867,12345.07,12598.72,12644.67,12699.64,12891.95,12104.09,13481.67,204,171,169,167,166,190,222,5051.35,6086.89,6227.70,6351.29,6438.42,5721.45,4983.00,60.52,73.68,74.82,76.05,77.66,63.71,60.73
31,Nebraska,2,1891277,1905616,1915947,1925614,1934408,1962642,1963554,1967923,20100.96,20699.92,21002.01,20974.74,21241.79,19431.86,21209.67,218,194,210,201,212,217,192,8675.58,9822.76,9123.56,9580.17,9124.57,9044.43,10226.84,92.21,106.70,100.01,104.35,100.20,89.55,110.47
32,Nevada,4,2866939,2917563,2969905,3027341,3080156,3115648,3146402,3177772,25925.44,26787.99,27587.01,28319.01,28793.74,25231.35,27076.61,297,304,292,299,285,309,360,9652.99,9597.25,10170.91,10124.89,10807.56,10083.00,8740.01,87.29,88.12,94.48,94.71,101.03,81.65,75.21
33,New Hampshire,1,1336350,1342307,1348787,1353465,1359711,1378587,1387505,1395231,13093.74,13512.60,13681.38,13776.47,13828.12,11956.26,13129.81,103,130,98,134,90,98,106,12974.27,10325.44,13763.13,10100.49,15107.90,14067.21,13089.67,127.12,103.94,139.61,102.81,153.65,122.00,123.87
34,New Jersey,1,8867949,8870827,8885525,8886025,8882190,9271689,9267961,9261699,75393.42,77092.63,77508.60,77538.91,78205.30,66341.15,73672.76,521,570,591,524,524,549,669,17021.02,15562.85,15034.73,16958.06,16950.74,16888.32,13853.45,144.71,135.25,131.15,147.98,149.25,120.84,110.12
35,New Mexico,4,2089291,2091630,2091784,2092741,2096829,2118390,2116677,2113344,27435.42,27885.52,27835.85,27288.31,27772.08,23756.44,26823.40,269,361,341,351,369,365,427,7766.88,5793.99,6134.26,5962.23,5682.46,5803.81,4957.09,101.99,77.25,81.63,77.74,75.26,65.09,62.82
36,New York,1,19654666,19633428,19589572,19530351,19453561,20108296,19857492,19677151,121698.64,122336.68,123476.60,123510.40,123986.15,102476.87,106869.76,1061,981,939,910,879,958,1099,18524.66,20013.69,20862.16,21461.92,22131.47,20989.87,18068.69,114.70,124.71,131.50,135.73,141.05,106.97,97.24
